Dose [cGy];Volume [%]
287.0;74.06642500000001
288.0;74.01820000000001
289.0;73.969975
290.0;73.92175
291.0;73.873525
292.0;73.8253
293.0;73.777075
294.0;73.72885
295.0;73.680625
296.0;73.6324
297.0;73.584175
298.0;73.53595
299.0;73.487725
300.0;73.43950000000001
301.0;73.40375
302.0;73.368
303.0;73.33225
304.0;73.29650000000001
305.0;73.26075
306.0;73.225
307.0;73.18925
308.0;73.15350000000001
309.0;73.11775
310.0;73.08200000000001
311.0;73.04625
312.0;73.01050000000001
313.0;72.97475
314.0;72.939
315.0;72.90325
316.0;72.86749999999999
317.0;72.83175
318.0;72.796
319.0;72.76025
320.0;72.7245
321.0;72.69069999999999
322.0;72.65690000000001
323.0;72.6231
324.0;72.5893
325.0;72.5555
326.0;72.52170000000001
327.0;72.4879
328.0;72.4541
329.0;72.4203
330.0;72.3865
331.0;72.3527
332.0;72.31890000000001
333.0;72.2851
334.0;72.2513
335.0;72.2175
336.0;72.1837
337.0;72.1499
338.0;72.1161
339.0;72.0823
340.0;72.0485
341.0;72.01085
342.0;71.9732
343.0;71.93555
344.0;71.8979
345.0;71.86025000000001
346.0;71.8226
347.0;71.78495000000001
348.0;71.7473
349.0;71.70965
350.0;71.672
351.0;71.63435000000001
352.0;71.5967
353.0;71.55905
354.0;71.5214
355.0;71.48375
356.0;71.4461
357.0;71.40845
358.0;71.3708
359.0;71.33315
360.0;71.2955
361.0;71.263625
362.0;71.23175
363.0;71.199875
364.0;71.168
365.0;71.13612499999999
366.0;71.10425000000001
367.0;71.072375
368.0;71.04050000000001
369.0;71.00862500000001
370.0;70.97675000000001
371.0;70.944875
372.0;70.913
373.0;70.881125
374.0;70.84925000000001
375.0;70.817375
376.0;70.78550000000001
377.0;70.753625
378.0;70.72175
379.0;70.689875
380.0;70.658
381.0;70.62865000000001
382.0;70.5993
383.0;70.56995
384.0;70.5406
385.0;70.51125
386.0;70.4819
387.0;70.45255
388.0;70.4232
389.0;70.39385
390.0;70.36449999999999
391.0;70.33515
392.0;70.3058
393.0;70.27645000000001
394.0;70.2471
395.0;70.21775
396.0;70.1884
