Dose [cGy],Volume [%]
520,66.5235
530,66.213
540,65.9025
550,65.6225
560,65.3425
570,65.14375
580,64.945
590,64.773
600,64.601
610,64.40325
620,64.2055
630,64.08575
640,63.966
650,63.7455
660,63.525
670,63.3465
680,63.168
690,62.979
700,62.79
710,62.6855
720,62.581
730,62.4085
740,62.236
750,62.06925
760,61.9025
770,61.73525
780,61.568
790,61.373
800,61.178
810,60.98475
820,60.7915
830,60.6645
840,60.5375
850,60.38325
860,60.229
870,60.0585
880,59.888
890,59.78325
900,59.6785
910,59.4985
920,59.3185
930,59.192
940,59.0655
950,58.91525
960,58.765
970,58.63775
980,58.5105
990,58.38075
1000,58.251
1010,58.0915
1020,57.932
1030,57.75175
1040,57.5715
1050,57.359
1060,57.1465
1070,56.926
1080,56.7055
1090,56.5
1100,56.2945
1110,56.08375
1120,55.873
1130,55.67125
1140,55.4695
1150,55.23025
1160,54.991
1170,54.76325
1180,54.5355
1190,54.31975
1200,54.104
1210,53.92875
1220,53.7535
1230,53.631
1240,53.5085
1250,53.2705
1260,53.0325
1270,52.89575
1280,52.759
1290,52.58625
1300,52.4135
1310,52.23525
1320,52.057
1330,51.9215
1340,51.786
1350,51.616
1360,51.446
1370,51.25825
1380,51.0705
1390,50.958
1400,50.8455
1410,50.69
1420,50.5345
1430,50.40225
1440,50.27
1450,50.17425
1460,50.0785
1470,49.944
1480,49.8095
1490,49.6795
1500,49.5495
1510,49.35575
1520,49.162
1530,49.01725
1540,48.8725
1550,48.72275
1560,48.573
1570,48.4505
1580,48.328
1590,48.21775
1600,48.1075
1610,47.93025
1620,47.753
1630,47.6
1640,47.447
1650,47.34625
1660,47.2455
1670,47.18
1680,47.1145
1690,47.052
1700,46.9895
1710,46.9015
1720,46.8135
1730,46.76625
1740,46.719
1750,46.606
1760,46.493
1770,46.3885
1780,46.284
1790,46.1565
1800,46.029
1810,45.8945
1820,45.76
1830,45.62325
1840,45.4865
1850,45.4295
1860,45.3725
1870,45.257
1880,45.1415
1890,44.999
1900,44.8565
1910,44.783
1920,44.7095
1930,44.58025
1940,44.451
1950,44.3275
1960,44.204
1970,44.0835
1980,43.963
1990,43.86025
2000,43.7575
2010,43.648
2020,43.5385
2030,43.43425
2040,43.33
2050,43.2535
2060,43.177
2070,43.06925
2080,42.9615
2090,42.88425
2100,42.807
2110,42.72975
2120,42.6525
2130,42.56125
2140,42.47
2150,42.4215
2160,42.373
2170,42.257
2180,42.141
2190,42.06
2200,41.979
2210,41.8575
2220,41.736
2230,41.6805
2240,41.625
2250,41.5215
2260,41.418
2270,41.28925
2280,41.1605
2290,41.073
2300,40.9855
2310,40.85775
2320,40.73
2330,40.61825
2340,40.5065
2350,40.40625
2360,40.306
2370,40.218
2380,40.13
2390,40.02075
2400,39.9115
2410,39.8185
2420,39.7255
2430,39.6
2440,39.4745
2450,39.314
2460,39.1535
2470,39.06025
2480,38.967
2490,38.83825
2500,38.7095
2510,38.61025
2520,38.511
2530,38.3825
2540,38.254
2550,38.129
2560,38.004
2570,37.89275
2580,37.7815
2590,37.7085
2600,37.6355
2610,37.52975
2620,37.424
2630,37.3235
2640,37.223
2650,37.10525
2660,36.9875
2670,36.88075
2680,36.774
2690,36.58075
2700,36.3875
2710,36.328
2720,36.2685
2730,36.163
2740,36.0575
2750,35.976
2760,35.8945
2770,35.83875
2780,35.783
2790,35.69075
2800,35.5985
2810,35.496
2820,35.3935
2830,35.24225
2840,35.091
2850,34.984
2860,34.877
2870,34.79375
2880,34.7105
2890,34.63225
2900,34.554
2910,34.46525
2920,34.3765
2930,34.3005
2940,34.2245
2950,34.13125
2960,34.038
2970,33.93875
2980,33.8395
2990,33.75525
3000,33.671
3010,33.51925
