Dose [cGy],Volume [%]
0,100
1,99.787275
2,99.57455
3,99.361825
4,99.1491
5,98.936375
6,98.72365
7,98.510925
8,98.2982
9,98.085475
10,97.87275
11,97.660025
12,97.4473
13,97.234575
14,97.02185
15,96.809125
16,96.5964
17,96.383675
18,96.17095
19,95.958225
20,95.7455
21,95.587075
22,95.42865
23,95.270225
24,95.1118
25,94.953375
26,94.79495
27,94.636525
28,94.4781
29,94.319675
30,94.16125
31,94.002825
32,93.8444
33,93.685975
34,93.52755
35,93.369125
36,93.2107
37,93.052275
38,92.89385
39,92.735425
40,92.577
41,92.455925
42,92.33485
43,92.213775
44,92.0927
45,91.971625
46,91.85055
47,91.729475
48,91.6084
49,91.487325
50,91.36625
51,91.245175
52,91.1241
53,91.003025
54,90.88195
55,90.760875
56,90.6398
57,90.518725
58,90.39765
59,90.276575
60,90.1555
61,90.036575
62,89.91765
63,89.798725
64,89.6798
65,89.560875
66,89.44195
67,89.323025
68,89.2041
69,89.085175
70,88.96625
71,88.847325
72,88.7284
73,88.609475
74,88.49055
75,88.371625
76,88.2527
77,88.133775
78,88.01485
79,87.895925
80,87.777
81,87.6812
82,87.5854
83,87.4896
84,87.3938
85,87.298
86,87.2022
87,87.1064
88,87.0106
89,86.9148
90,86.819
91,86.7232
92,86.6274
93,86.5316
94,86.4358
95,86.34
96,86.2442
97,86.1484
98,86.0526
99,85.9568
100,85.861
101,85.755975
102,85.65095
103,85.545925
104,85.4409
105,85.335875
106,85.23085
107,85.125825
108,85.0208
109,84.915775
110,84.81075
111,84.705725
112,84.6007
113,84.495675
114,84.39065
115,84.285625
116,84.1806
117,84.075575
118,83.97055
119,83.865525
120,83.7605
121,83.69065
122,83.6208
123,83.55095
124,83.4811
125,83.41125
126,83.3414
127,83.27155
128,83.2017
129,83.13185
130,83.062
131,82.99215
132,82.9223
133,82.85245
134,82.7826
135,82.71275
136,82.6429
137,82.57305
138,82.5032
139,82.43335
140,82.3635
141,82.2957
142,82.2279
143,82.1601
144,82.0923
145,82.0245
146,81.9567
147,81.8889
148,81.8211
149,81.7533
150,81.6855
151,81.6177
152,81.5499
153,81.4821
154,81.4143
155,81.3465
156,81.2787
157,81.2109
158,81.1431
159,81.0753
160,81.0075
161,80.947125
162,80.88675
163,80.826375
164,80.766
165,80.705625
166,80.64525
167,80.584875
168,80.5245
169,80.464125
170,80.40375
171,80.343375
172,80.283
173,80.222625
174,80.16225
175,80.101875
176,80.0415
177,79.981125
178,79.92075
179,79.860375
180,79.8
181,79.74995
182,79.6999
183,79.64985
184,79.5998
185,79.54975
186,79.4997
187,79.44965
188,79.3996
189,79.34955
190,79.2995
191,79.24945
192,79.1994
193,79.14935
194,79.0993
195,79.04925
196,78.9992
197,78.94915
198,78.8991
199,78.84905
200,78.799
201,78.744125
202,78.68925
203,78.634375
204,78.5795
205,78.524625
206,78.46975
207,78.414875
208,78.36
209,78.305125
210,78.25025
211,78.195375
212,78.1405
213,78.085625
214,78.03075
215,77.975875
216,77.921
217,77.866125
218,77.81125
219,77.756375
220,77.7015
221,77.65845
222,77.6154
223,77.57235
224,77.5293
225,77.48625
226,77.4432
227,77.40015
228,77.3571
229,77.31405
230,77.271
231,77.22795
232,77.1849
233,77.14185
234,77.0988
235,77.05575
236,77.0127
237,76.96965
238,76.9266
239,76.88355
240,76.8405
241,76.792875
242,76.74525
243,76.697625
244,76.65
245,76.602375
246,76.55475
247,76.507125
248,76.4595
249,76.411875
250,76.36425
251,76.316625
252,76.269
253,76.221375
254,76.17375
255,76.126125
256,76.0785
257,76.030875
258,75.98325
259,75.935625
260,75.888
261,75.84895
262,75.8099
263,75.77085
264,75.7318
265,75.69275
266,75.6537
267,75.61465
268,75.5756
269,75.53655
270,75.4975
271,75.45845
272,75.4194
273,75.38035
274,75.3413
275,75.30225
276,75.2632
277,75.22415
278,75.1851
279,75.14605
280,75.107
281,75.061225
282,75.01545
283,74.969675
284,74.9239
285,74.878125
286,74.83235
287,74.786575
288,74.7408
289,74.695025
290,74.64925
291,74.603475
292,74.5577
293,74.511925
294,74.46615
295,74.420375
296,74.3746
297,74.328825
298,74.28305
299,74.237275
300,74.1915
301,74.160075
302,74.12865
303,74.097225
304,74.0658
305,74.034375
306,74.00295
307,73.971525
308,73.9401
309,73.908675
310,73.87725
311,73.845825
312,73.8144
313,73.782975
314,73.75155
315,73.720125
316,73.6887
317,73.657275
318,73.62585
319,73.594425
320,73.563
321,73.537475
322,73.51195
323,73.486425
324,73.4609
325,73.435375
326,73.40985
327,73.384325
328,73.3588
329,73.333275
330,73.30775
331,73.282225
332,73.2567
333,73.231175
334,73.20565
335,73.180125
336,73.1546
337,73.129075
338,73.10355
339,73.078025
340,73.0525
341,73.015775
342,72.97905
343,72.942325
344,72.9056
345,72.868875
346,72.83215
347,72.795425
348,72.7587
349,72.721975
350,72.68525
351,72.648525
352,72.6118
353,72.575075
354,72.53835
355,72.501625
356,72.4649
357,72.428175
358,72.39145
359,72.354725
360,72.318
361,72.2884
362,72.2588
363,72.2292
364,72.1996
365,72.17
366,72.1404
367,72.1108
368,72.0812
369,72.0516
370,72.022
371,71.9924
372,71.9628
373,71.9332
374,71.9036
375,71.874
376,71.8444
377,71.8148
378,71.7852
379,71.7556
380,71.726
381,71.70045
382,71.6749
383,71.64935
384,71.6238
385,71.59825
386,71.5727
387,71.54715
388,71.5216
389,71.49605
390,71.4705
391,71.44495
392,71.4194
393,71.39385
394,71.3683
395,71.34275
396,71.3172
397,71.29165
398,71.2661
399,71.24055
400,71.215
401,71.1758
402,71.1366
403,71.0974
404,71.0582
405,71.019
406,70.9798
407,70.9406
408,70.9014
409,70.8622
410,70.823
411,70.7838
412,70.7446
413,70.7054
414,70.6662
415,70.627
416,70.5878
417,70.5486
418,70.5094
419,70.4702
420,70.431
421,70.39
422,70.349
423,70.308
424,70.267
425,70.226
426,70.185
427,70.144
428,70.103
429,70.062
430,70.021
431,69.98
432,69.939
433,69.898
434,69.857
435,69.816
436,69.775
437,69.734
438,69.693
439,69.652
440,69.611
441,69.583525
442,69.55605
443,69.528575
444,69.5011
445,69.473625
446,69.44615
447,69.418675
448,69.3912
449,69.363725
450,69.33625
451,69.308775
452,69.2813
453,69.253825
470,68.84725
480,68.633
490,68.38875
500,68.1445
510,67.928
520,67.7115
530,67.491
540,67.2705
550,67.065
560,66.8595
570,66.64475
580,66.43
590,66.27875
600,66.1275
610,65.94025
620,65.753
630,65.6525
640,65.552
650,65.38975
660,65.2275
670,65.07125
680,64.915
690,64.6805
700,64.446
710,64.338
720,64.23
730,64.105
740,63.98
750,63.8645
760,63.749
770,63.62225
780,63.4955
790,63.332
800,63.1685
810,62.9525
820,62.7365
830,62.629
840,62.5215
850,62.40775
860,62.294
870,62.1675
880,62.041
890,61.96275
900,61.8845
910,61.74125
920,61.598
930,61.5175
940,61.437
950,61.35925
960,61.2815
970,61.18
980,61.0785
990,60.967
1000,60.8555
1010,60.79625
1020,60.737
1030,60.6395
1040,60.542
1050,60.47425
1060,60.4065
1070,60.34475
1080,60.283
1090,60.22975
1100,60.1765
1110,60.11741667
1120,60.05833333
1130,59.957
1140,59.85566667
1150,59.79308333
1160,59.7305
1170,59.66325
1180,59.596
1190,59.52375
1200,59.4515
1210,59.40625
1220,59.361
1230,59.3235
1240,59.286
1250,59.222
1260,59.158
1270,59.11275
