cohort,n,m,TD50
MCN2.1,0.028917520123962204,0.09093799855686874,62.9830988369467
MCN2.1,0.09860015969290647,0.10312440706461135,61.473971635196136
MCN2.1,0.020013940854205048,0.054139208297040387,62.99138062301381
MCN2.1,0.03892670786106667,0.0667796698294616,61.24013831607521
MCN2.1,0.03307805528704799,0.020000000000000018,61.52722414073338
MCN2.1,0.006000000000000005,0.04126492657979469,63.13315258113885
MCN2.1,0.011999997072247304,0.08610777914241241,64.23963936446617
MCN2.1,0.009999086868351492,0.0577346000310881,63.086113597468234
MCN2.1,0.01699999924673934,0.15983140261444667,68.33406435114634
MCN2.1,0.006000000000000005,0.12651268896371692,67.36229430095203
MCN2.1,0.01885381685323706,0.04710277981044153,61.19176115628647
MCN2.1,0.033341162543311764,0.1591946907129484,66.58464984219887
MCN2.1,0.04008502625550325,0.08584658814857321,63.459114950193495
MCN2.1,0.006000000000000005,0.06067208020484277,63.72418776811055
MCN2.1,0.023999999472905875,0.09283474041567957,63.14514448115687
MCN2.1,0.006000000000000005,0.11976659196816991,67.4447834910954
MCN2.1,0.056090350247620435,0.1090271086015211,66.34450958155261
MCN2.1,0.006974463884925397,0.049293925619214085,62.26307484474695
MCN2.1,0.006000000000000005,0.07083394441540669,66.10594531362297
MCN2.1,0.3366481297252284,0.05416389730236648,59.02658868335959
MCN2.1,0.011999999275841944,0.13230281097158025,70.25841141179558
MCN2.1,0.05695973312154634,0.030710127291941225,61.24004148843423
MCN2.1,0.08935080535780315,0.06666542563553984,60.80909293902388
MCN2.1,0.034000000375648654,0.1595395877150454,66.62815357262379
MCN2.1,0.023999999469479505,0.07561689795971643,64.6974561214617
MCN2.1,0.12556965515674712,0.1346572671785471,63.72021887921383
MCN2.1,0.023967389409158546,0.050064765458451066,63.776023791930314
MCN2.1,0.06697003426583858,0.05872504205010198,60.660386940081025
MCN2.1,0.02813900229244548,0.044566511999850456,61.93489104834602
MCN2.1,0.027906393028464205,0.127772544354259,66.74493970144567
MCN2.1,0.02399790240885169,0.03632557746416709,62.907544777667354
MCN2.1,0.010938142258445138,0.0836363141966413,60.759628653442036
MCN2.1,0.015164947806873386,0.031782635749688815,63.32131272947335
MCN2.1,0.006000000000000005,0.1100863373218367,63.87029390381303
MCN2.1,0.0199999930943906,0.11832870558958697,68.43534882501399
MCN2.1,0.008023723111915348,0.040215790839187915,63.51826392912046
MCN2.1,0.01847657479160625,0.15119116277198602,63.55134297136866
MCN2.1,0.006000000000000005,0.05307073385996708,62.91363460565824
MCN2.1,0.13538026024093464,0.027393713519337115,59.48938147356871
MCN2.1,0.023999998484219187,0.14723431229841655,67.18680081834904
MCN2.1,0.039655145869264,0.1672596447070112,67.47998548224122
MCN2.1,0.03378124953952355,0.05461332017691689,62.71722326148239
MCN2.1,0.2219177758140043,0.15833645958597753,64.65193634036135
MCN2.1,0.05586972030792303,0.11476394390514338,64.7856645723293
MCN2.1,0.0569999917859485,0.16184922469920643,65.98416447886716
MCN2.1,0.06248800753285533,0.07453160878915543,61.380889446357514
MCN2.1,0.05697967434186002,0.1262683292521367,70.31742237999697
MCN2.1,0.009986609708711791,0.1924414227954903,64.48816706963193
MCN2.1,0.03399973141687851,0.04896801758643815,62.70197960757203
MCN2.1,0.023999999014295614,0.16263262292610575,66.06771696064966
